ticket_id,date,category,resolution_time,customer_satisfaction
TK1869,2024-01-01,Bug Report,2.91,3
TK2752,2024-01-01,Login Issue,0.5,2
TK2326,2024-01-01,Feature Request,3.5,1
TK4028,2024-01-01,Other,0.5,4
TK7889,2024-01-02,Payment Failure,1.56,3
TK5981,2024-01-02,Bug Report,2.57,1
TK1166,2024-01-02,Other,2.2,4
TK7887,2024-01-03,Other,0.83,4
TK6828,2024-01-03,Payment Failure,2.14,3
TK6968,2024-01-03,Login Issue,2.18,5
TK5866,2024-01-03,Feature Request,1.56,1
TK1883,2024-01-04,Feature Request,1.93,4
TK4172,2024-01-04,Feature Request,3.04,1
TK9041,2024-01-04,Payment Failure,3.27,5
TK2513,2024-01-05,Payment Failure,1.25,2
TK9585,2024-01-05,Other,1.5,5
TK4779,2024-01-06,Bug Report,0.75,3
TK9192,2024-01-06,Login Issue,1.73,1
TK3791,2024-01-06,Bug Report,2.36,3
TK3534,2024-01-06,Other,2.75,4
TK2641,2024-01-07,Feature Request,2.24,2
TK4314,2024-01-07,Other,0.83,5
TK9308,2024-01-08,Bug Report,1.82,5
TK5983,2024-01-08,Login Issue,1.18,5
TK1994,2024-01-08,Feature Request,4.17,3
TK7078,2024-01-09,Other,1.97,1
TK9527,2024-01-09,Bug Report,3.94,2
TK8695,2024-01-10,Feature Request,3.88,2
TK3567,2024-01-10,Login Issue,5.31,4
TK4417,2024-01-11,Payment Failure,1.74,2
TK9609,2024-01-11,Bug Report,0.5,1
TK6710,2024-01-12,Other,0.5,2
TK3553,2024-01-12,Bug Report,0.5,5
TK5181,2024-01-12,Feature Request,0.81,3
TK3179,2024-01-13,Login Issue,1.58,2
TK5697,2024-01-13,Login Issue,2.24,5
TK3566,2024-01-13,Payment Failure,0.5,1
TK9826,2024-01-14,Login Issue,2.7,5
TK4218,2024-01-14,Other,1.73,2
TK8552,2024-01-15,Other,3.45,2
TK6851,2024-01-15,Login Issue,2.9,3
TK1009,2024-01-16,Feature Request,3.8,5
TK1090,2024-01-16,Other,4.5,3
TK6797,2024-01-16,Payment Failure,1.63,4
TK2147,2024-01-17,Payment Failure,1.94,3
TK1369,2024-01-17,Login Issue,0.66,3
TK1725,2024-01-17,Other,2.36,5
TK1599,2024-01-18,Login Issue,0.5,1
TK4071,2024-01-18,Payment Failure,1.31,4
TK4566,2024-01-18,Other,2.15,2
TK1566,2024-01-18,Login Issue,5.07,3
TK5622,2024-01-19,Login Issue,1.88,4
TK5738,2024-01-19,Other,1.42,2
TK9569,2024-01-19,Payment Failure,4.76,3
TK9496,2024-01-20,Payment Failure,2.22,5
TK3977,2024-01-20,Payment Failure,1.6,3
TK3792,2024-01-21,Feature Request,2.92,4
TK2618,2024-01-21,Payment Failure,3.92,5
TK2489,2024-01-22,Bug Report,2.85,5
TK8582,2024-01-22,Other,1.33,2
TK7940,2024-01-23,Feature Request,3.18,4
TK3532,2024-01-23,Feature Request,1.29,3
TK3251,2024-01-24,Payment Failure,0.5,3
TK6342,2024-01-24,Payment Failure,1.73,3
TK5043,2024-01-25,Payment Failure,3.54,1
TK6941,2024-01-25,Bug Report,2.83,2
TK5565,2024-01-25,Other,3.01,4
TK2667,2024-01-26,Bug Report,3.64,3
TK9913,2024-01-26,Bug Report,2.32,3
TK4469,2024-01-27,Feature Request,2.88,1
TK7794,2024-01-27,Feature Request,2.98,4
TK7941,2024-01-27,Feature Request,2.16,1
TK6049,2024-01-27,Login Issue,2.54,3
TK8257,2024-01-28,Bug Report,1.74,1
TK8844,2024-01-28,Other,3.63,3
TK5061,2024-01-28,Bug Report,1.57,2
TK5756,2024-01-29,Feature Request,2.03,4
TK1681,2024-01-29,Other,2.04,1
TK6805,2024-01-29,Feature Request,3.13,5
TK2683,2024-01-29,Other,1.38,5
TK5204,2024-01-30,Other,0.5,4
TK5907,2024-01-30,Bug Report,3.7,4
TK7322,2024-01-31,Payment Failure,2.27,2
TK9446,2024-01-31,Payment Failure,1.43,4
TK3083,2024-02-01,Bug Report,1.69,2
TK4561,2024-02-01,Other,2.16,4
TK9728,2024-02-01,Bug Report,2.5,1
TK4827,2024-02-02,Other,0.5,5
TK1105,2024-02-02,Other,3.48,5
TK1901,2024-02-03,Login Issue,3.0,2
TK8060,2024-02-03,Login Issue,2.32,5
TK4026,2024-02-04,Other,3.07,1
TK5528,2024-02-04,Bug Report,0.69,3
TK1502,2024-02-04,Login Issue,0.5,1
TK9333,2024-02-05,Bug Report,2.86,3
TK9493,2024-02-05,Login Issue,2.06,4
TK9064,2024-02-05,Bug Report,3.47,5
TK9008,2024-02-06,Other,1.18,3
TK1710,2024-02-06,Login Issue,1.97,4
TK9331,2024-02-07,Payment Failure,1.33,5
TK6762,2024-02-07,Login Issue,1.03,4
TK4168,2024-02-07,Other,1.76,4
TK8283,2024-02-07,Payment Failure,2.34,2
TK8925,2024-02-08,Feature Request,0.5,4
TK1925,2024-02-08,Login Issue,1.5,1
TK4016,2024-02-09,Feature Request,1.66,1
TK1209,2024-02-09,Bug Report,2.94,5
TK6940,2024-02-09,Payment Failure,1.46,3
TK3301,2024-02-10,Other,0.5,4
TK1223,2024-02-10,Feature Request,0.55,3
TK8085,2024-02-10,Bug Report,0.72,1
TK7138,2024-02-11,Other,2.82,4
TK8292,2024-02-11,Login Issue,1.22,1
TK9124,2024-02-11,Bug Report,2.96,1
TK1230,2024-02-12,Other,3.0,1
TK3634,2024-02-12,Payment Failure,2.25,3
TK6212,2024-02-12,Login Issue,1.82,4
TK2289,2024-02-13,Other,1.21,3
TK3327,2024-02-13,Other,3.4,4
TK5339,2024-02-14,Bug Report,3.95,2
TK5228,2024-02-14,Payment Failure,1.5,4
TK9612,2024-02-15,Other,1.88,3
TK9534,2024-02-15,Other,1.24,1
TK7845,2024-02-15,Bug Report,3.43,4
TK2049,2024-02-16,Feature Request,0.5,2
TK5138,2024-02-16,Other,2.69,3
TK5524,2024-02-17,Bug Report,1.55,3
TK2932,2024-02-17,Login Issue,0.59,3
TK6377,2024-02-18,Login Issue,2.2,3
TK7643,2024-02-18,Other,2.0,3
TK5469,2024-02-18,Bug Report,1.9,5
TK1155,2024-02-19,Login Issue,3.13,2
TK8123,2024-02-19,Payment Failure,2.24,3
TK8675,2024-02-20,Login Issue,0.5,4
TK5722,2024-02-20,Other,0.5,4
TK3172,2024-02-21,Other,0.95,4
TK9257,2024-02-21,Other,2.65,1
TK2788,2024-02-21,Bug Report,3.3,1
TK5365,2024-02-21,Other,0.98,2
TK8290,2024-02-22,Other,2.13,1
TK4303,2024-02-22,Payment Failure,2.05,4
TK3157,2024-02-22,Login Issue,1.24,1
TK8326,2024-02-22,Other,3.09,3
TK1661,2024-02-23,Payment Failure,2.04,4
TK8273,2024-02-23,Bug Report,3.59,2
TK1644,2024-02-23,Feature Request,0.64,5
TK3343,2024-02-23,Payment Failure,0.5,5
TK5227,2024-02-24,Other,2.56,2
TK8488,2024-02-24,Login Issue,3.32,1
TK9681,2024-02-24,Payment Failure,2.08,2
TK6530,2024-02-25,Other,1.68,5
TK2975,2024-02-25,Other,1.68,4
TK6644,2024-02-26,Other,2.6,3
TK2538,2024-02-26,Bug Report,3.03,3
TK3216,2024-02-27,Login Issue,2.38,4
TK9968,2024-02-27,Bug Report,1.24,2
TK9804,2024-02-27,Login Issue,2.23,3
TK6513,2024-02-28,Other,1.81,2
TK7879,2024-02-28,Bug Report,1.8,5
TK3255,2024-02-29,Login Issue,2.18,5
TK2270,2024-02-29,Feature Request,2.28,5
TK2399,2024-02-29,Other,1.82,3
TK4728,2024-02-29,Feature Request,1.03,4
TK3587,2024-03-01,Login Issue,3.03,1
TK3224,2024-03-01,Payment Failure,2.98,2
TK8032,2024-03-01,Feature Request,0.5,4
TK2182,2024-03-02,Bug Report,0.81,1
TK8944,2024-03-02,Bug Report,2.19,4
TK5420,2024-03-03,Feature Request,2.77,3
TK4313,2024-03-03,Login Issue,4.6,2
TK5135,2024-03-03,Bug Report,1.63,3
TK1841,2024-03-04,Payment Failure,2.26,3
TK7506,2024-03-04,Bug Report,1.94,2
TK3455,2024-03-04,Feature Request,1.6,3
TK3984,2024-03-05,Feature Request,3.45,4
TK4989,2024-03-05,Bug Report,0.5,2
TK4430,2024-03-05,Login Issue,2.21,3
TK4771,2024-03-06,Feature Request,2.49,1
TK5328,2024-03-06,Login Issue,2.9,4
TK7685,2024-03-06,Login Issue,3.17,1
TK2532,2024-03-07,Feature Request,3.43,4
TK1398,2024-03-07,Payment Failure,0.5,4
TK8838,2024-03-07,Payment Failure,1.33,3
TK4459,2024-03-08,Payment Failure,2.45,4
TK5155,2024-03-08,Feature Request,1.25,4
TK8213,2024-03-09,Other,1.8,3
TK4514,2024-03-09,Login Issue,1.84,1
TK8244,2024-03-10,Other,0.5,5
TK1011,2024-03-10,Other,1.86,5
TK3369,2024-03-10,Login Issue,0.53,3
TK2929,2024-03-10,Bug Report,2.11,1
TK9531,2024-03-11,Bug Report,3.4,2
TK9217,2024-03-11,Login Issue,0.77,3
TK1059,2024-03-12,Feature Request,2.85,2
TK3163,2024-03-12,Payment Failure,1.13,4
TK8398,2024-03-12,Feature Request,2.88,4
TK2171,2024-03-13,Payment Failure,1.73,2
TK6763,2024-03-13,Payment Failure,0.62,5
TK1050,2024-03-13,Feature Request,1.86,1
TK1310,2024-03-13,Other,2.76,5
TK7986,2024-03-14,Login Issue,0.5,2
TK2300,2024-03-14,Login Issue,1.32,1
TK6130,2024-03-14,Feature Request,3.4,4
TK1597,2024-03-14,Bug Report,0.88,1
TK4642,2024-03-15,Feature Request,0.5,5
TK8085,2024-03-15,Payment Failure,3.73,1
TK4942,2024-03-15,Other,1.9,2
TK9908,2024-03-16,Other,3.34,1
TK8920,2024-03-16,Feature Request,1.81,3
TK6744,2024-03-16,Payment Failure,0.58,1
TK3286,2024-03-17,Bug Report,2.77,2
TK9341,2024-03-17,Login Issue,3.59,4
TK3298,2024-03-17,Bug Report,2.24,5
TK8524,2024-03-18,Bug Report,2.85,4
TK8336,2024-03-18,Payment Failure,3.97,2
TK3266,2024-03-18,Payment Failure,3.8,4
TK1848,2024-03-19,Login Issue,1.95,5
TK3936,2024-03-19,Bug Report,0.5,1
TK9938,2024-03-20,Feature Request,0.5,2
TK9537,2024-03-20,Login Issue,3.39,5
TK6555,2024-03-20,Login Issue,0.5,5
TK5176,2024-03-20,Feature Request,4.36,1
TK6552,2024-03-21,Login Issue,1.86,1
TK8621,2024-03-21,Other,0.59,3
TK1071,2024-03-22,Payment Failure,1.46,5
TK2171,2024-03-22,Login Issue,0.5,1
TK9958,2024-03-22,Other,0.5,4
TK6318,2024-03-23,Feature Request,2.91,4
TK1098,2024-03-23,Other,2.31,2
TK6112,2024-03-24,Login Issue,2.56,3
TK1686,2024-03-24,Bug Report,1.68,4
TK6273,2024-03-24,Bug Report,1.52,2
TK9783,2024-03-24,Feature Request,4.88,2
TK3251,2024-03-25,Bug Report,1.97,1
TK5485,2024-03-25,Bug Report,1.73,2
TK7603,2024-03-26,Other,2.03,3
TK8952,2024-03-26,Other,0.95,3
TK9840,2024-03-27,Other,2.05,1
TK1452,2024-03-27,Payment Failure,0.5,5
TK7295,2024-03-28,Login Issue,0.67,1
TK6739,2024-03-28,Payment Failure,4.16,2
TK2666,2024-03-28,Bug Report,2.77,5
TK5109,2024-03-29,Bug Report,2.42,4
TK7537,2024-03-29,Feature Request,2.16,1
TK6295,2024-03-29,Feature Request,4.04,5
TK5560,2024-03-30,Other,3.66,4
TK8080,2024-03-30,Login Issue,4.17,1
TK8207,2024-03-30,Feature Request,2.43,3
TK4206,2024-03-30,Bug Report,2.47,2
TK4865,2024-03-31,Login Issue,2.82,2
TK3030,2024-03-31,Login Issue,2.62,2
TK8173,2024-03-31,Login Issue,3.57,5
TK2746,2024-04-01,Bug Report,3.58,4
TK3844,2024-04-01,Login Issue,2.24,5
TK9903,2024-04-01,Login Issue,4.49,5
TK1563,2024-04-01,Feature Request,1.17,4
TK2502,2024-04-02,Other,1.73,1
TK3813,2024-04-02,Feature Request,0.54,3
TK5668,2024-04-03,Other,0.76,4
TK4940,2024-04-03,Bug Report,1.36,4
TK2724,2024-04-03,Other,2.74,1
TK7237,2024-04-04,Login Issue,3.36,3
TK7557,2024-04-04,Other,0.5,3
TK9242,2024-04-04,Login Issue,3.44,3
TK1826,2024-04-04,Bug Report,1.41,3
TK7436,2024-04-05,Bug Report,5.71,1
TK1425,2024-04-05,Bug Report,0.5,5
TK5126,2024-04-05,Feature Request,1.43,1
TK5005,2024-04-06,Login Issue,3.31,1
TK2450,2024-04-06,Other,1.87,4
TK3830,2024-04-06,Login Issue,3.12,5
TK7654,2024-04-07,Payment Failure,3.05,2
TK2049,2024-04-07,Payment Failure,0.53,5
TK2470,2024-04-08,Bug Report,0.5,1
TK4771,2024-04-08,Login Issue,2.27,2
TK6861,2024-04-08,Payment Failure,3.26,4
TK6750,2024-04-09,Payment Failure,1.87,5
TK7068,2024-04-09,Login Issue,4.14,5
TK8286,2024-04-09,Bug Report,0.5,2
TK3128,2024-04-10,Other,1.31,2
TK7756,2024-04-10,Bug Report,0.93,1
TK9496,2024-04-10,Payment Failure,0.5,2
TK8324,2024-04-10,Feature Request,1.19,3
TK6758,2024-04-11,Login Issue,0.5,4
TK4822,2024-04-11,Login Issue,1.25,2
TK4593,2024-04-12,Other,2.47,3
TK7684,2024-04-12,Payment Failure,1.34,4
TK8228,2024-04-12,Payment Failure,1.19,1
TK3642,2024-04-13,Payment Failure,0.5,3
TK5651,2024-04-13,Login Issue,2.45,5
TK6105,2024-04-13,Payment Failure,1.87,3
TK3552,2024-04-14,Bug Report,1.12,2
TK8127,2024-04-14,Other,1.81,1
TK7971,2024-04-14,Other,3.27,5
TK4602,2024-04-15,Bug Report,3.38,5
TK5701,2024-04-15,Feature Request,0.5,2
TK3524,2024-04-15,Bug Report,1.57,2
TK4878,2024-04-15,Other,0.66,5
TK2020,2024-04-16,Login Issue,3.26,4
TK9354,2024-04-16,Payment Failure,1.65,1
TK3769,2024-04-17,Other,3.33,1
TK3514,2024-04-17,Bug Report,1.15,4
TK4024,2024-04-18,Other,1.08,3
TK4337,2024-04-18,Payment Failure,1.09,3
TK3167,2024-04-19,Other,0.5,4
TK1956,2024-04-19,Payment Failure,2.31,5
TK4002,2024-04-19,Other,1.69,2
TK7004,2024-04-20,Other,3.48,2
TK1840,2024-04-20,Feature Request,0.5,5
TK9751,2024-04-20,Bug Report,0.5,4
TK2130,2024-04-20,Payment Failure,0.5,3
TK8364,2024-04-21,Payment Failure,3.45,5
TK7321,2024-04-21,Other,2.85,4
TK9062,2024-04-22,Bug Report,3.16,5
TK7558,2024-04-22,Other,1.64,3
TK4347,2024-04-22,Login Issue,2.46,5
TK9130,2024-04-22,Feature Request,1.61,4
TK3140,2024-04-23,Bug Report,1.34,3
TK7272,2024-04-23,Login Issue,1.61,3
TK5588,2024-04-23,Feature Request,1.46,5
TK8362,2024-04-24,Payment Failure,2.88,5
TK5176,2024-04-24,Feature Request,1.9,5
TK6637,2024-04-24,Payment Failure,2.09,5
TK1332,2024-04-25,Payment Failure,0.5,5
TK4736,2024-04-25,Login Issue,0.94,1
TK9704,2024-04-25,Login Issue,3.94,2
TK6709,2024-04-26,Feature Request,2.17,4
TK8104,2024-04-26,Payment Failure,2.54,5
TK6959,2024-04-26,Feature Request,1.84,3
TK3047,2024-04-27,Feature Request,3.3,1
TK1470,2024-04-27,Login Issue,0.5,2
TK2560,2024-04-27,Login Issue,2.35,1
TK1420,2024-04-27,Payment Failure,0.72,5
TK4294,2024-04-28,Payment Failure,2.11,3
TK4909,2024-04-28,Other,3.33,5
TK7922,2024-04-28,Feature Request,0.75,2
TK3155,2024-04-29,Login Issue,1.12,2
TK9492,2024-04-29,Payment Failure,2.61,3
TK6915,2024-04-29,Payment Failure,2.72,4
TK8869,2024-04-30,Bug Report,1.03,2
TK4801,2024-04-30,Payment Failure,3.29,1
TK9909,2024-05-01,Payment Failure,1.8,1
TK5114,2024-05-01,Other,2.97,5
TK6047,2024-05-01,Payment Failure,0.54,1
TK5233,2024-05-02,Other,2.18,5
TK8153,2024-05-02,Feature Request,2.44,5
TK3659,2024-05-02,Payment Failure,4.88,1
TK4634,2024-05-02,Feature Request,1.93,2
TK8257,2024-05-03,Feature Request,1.46,3
TK8213,2024-05-03,Login Issue,2.08,3
TK7428,2024-05-03,Payment Failure,2.24,4
TK4414,2024-05-03,Bug Report,2.54,2
TK4190,2024-05-04,Payment Failure,2.74,3
TK9724,2024-05-04,Bug Report,2.17,4
TK2896,2024-05-05,Bug Report,3.96,4
TK2749,2024-05-05,Payment Failure,0.62,5
TK3133,2024-05-05,Login Issue,2.36,5
TK2404,2024-05-06,Feature Request,1.09,4
TK7961,2024-05-06,Bug Report,0.5,3
TK2424,2024-05-06,Bug Report,3.12,1
TK3314,2024-05-07,Feature Request,3.21,1
TK3875,2024-05-07,Other,1.7,5
TK4573,2024-05-08,Feature Request,1.69,2
TK8376,2024-05-08,Feature Request,1.39,2
TK7165,2024-05-09,Payment Failure,1.71,3
TK1311,2024-05-09,Payment Failure,3.16,2
TK7815,2024-05-09,Login Issue,3.43,1
TK1981,2024-05-09,Login Issue,0.53,4
TK2832,2024-05-10,Login Issue,2.95,1
TK7106,2024-05-10,Feature Request,1.53,2
TK4239,2024-05-10,Payment Failure,0.5,5
